,Favs,RTs,Followers,Following,Listed,likes,tweets,Word Count,Tweet Id,User Name,result
0,0.0,0.0,3630.0,3549.0,345.0,114.0,8541.0,28.0,1.0363551302103122e+18,Finalsite,-1553.3890152896206
1,0.0,5.0,4311.0,106.0,140.0,11869.0,199856.0,18.0,1.0393764932714945e+18,Aaron Cuddeback,-38885.44537728833
2,0.0,0.0,47.0,174.0,5.0,954.0,90014.0,13.0,8.801317119794625e+17,SOLE South Africa,-15540.280858859838
3,0.0,0.0,265.0,571.0,18.0,1549.0,99145.0,13.0,1.0360033055987219e+18,Conscious Health,-17277.14013865044
4,0.0,5.0,90.0,42.0,201.0,812.0,145214.0,17.0,1.0392938876495379e+18,SMKN 1 Panyingkiran,-24795.361003513477
5,0.0,0.0,1514.0,99.0,119.0,990.0,90145.0,21.0,1.0398938271824445e+18,Dr Ian McDonald,-15845.826947602756
6,0.0,3.0,158.0,440.0,45.0,11200.0,88457.0,15.0,8.803807937969316e+17,Carol Hernandez,-18970.824570849745
7,0.0,6.0,443799.0,142.0,3476.0,5149.0,136479.0,15.0,1.0398502228374897e+18,The Irish Times,-111317.09775187365
8,18.0,8.0,902.0,401.0,31.0,88.0,6685.0,21.0,1.0344554132096082e+18,Stephanie Rubin,-1268.434599463317
9,0.0,8.0,91.0,103.0,7.0,6559.0,145214.0,18.0,1.0399164996102922e+18,Kknewkles Wildwision,-26926.230374728642
10,0.0,0.0,537.0,1881.0,20.0,4771.0,132514.0,54.0,1.034246262068052e+18,AphraBehnSalad,-23936.638515129784
11,0.0,2.0,8631.0,4504.0,435.0,845.0,87499.0,31.0,1.0372710869944689e+18,SE London CAMRA,-15974.558261216238
12,0.0,4.0,52.0,109.0,0.0,5876.0,251.0,20.0,1.03988463234134e+18,Davidsson,-2171.4043324482313
13,2.0,1.0,10585.0,947.0,380.0,335.0,22015.0,27.0,1.03484069297408e+18,PIE Network,-5676.698256029122
14,0.0,0.0,58.0,75.0,1.0,547.0,32145.0,41.0,1.0372770291698072e+18,Edith Invernizzi,-5631.265993665305
15,0.0,1.0,4279.0,4605.0,45.0,27535.0,245186.0,18.0,1.0372882806210478e+18,Early Years Research,-51555.75497581056
16,0.0,1.0,6307.0,2038.0,673.0,2.0,102.0,31.0,1.0372892805766758e+18,IoTUK,-762.5797688521061
17,0.0,0.0,133.0,113.0,2.0,9939.0,154893.0,48.0,1.0399219718558515e+18,Evademoney,-29798.548099629912
